"BehaviorSpace results (NetLogo 6.1.1)"
"ethnicity bias learning - bjps revisions - varying population sizes.nlogo"
"sensitivity_to_random_pairing_majority_minority"
"08/06/2022 14:22:06:914 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","25","0","9"
"[run number]","spatial?","random-pairing","mr_learning_strategy","conditional_strategies?","initial_proportion_ethnic_learning","plays_per_learn","mr_strategy","shift","[step]","success?","collapse?"
"239","false","0.2","0","false","0.5","1","0","0.01","686","true","false"
"240","false","0.2","0","false","0.5","1","0","0.01","554","true","false"
"241","false","0.2","0","false","0.5","1","0","0.01","638","true","false"
"243","false","0.2","0","false","0.5","1","0","0.01","332","true","false"
"244","false","0.2","0","false","0.5","1","0","0.01","710","true","false"
"245","false","0.2","0","false","0.5","1","0","0.01","561","true","false"
"242","false","0.2","0","false","0.5","1","0","0.01","1249","true","false"
"246","false","0.2","0","false","0.5","1","0","0.01","582","true","false"
"247","false","0.2","0","false","0.5","1","0","0.01","457","true","false"
"249","false","0.2","0","false","0.5","1","0","0.01","423","true","false"
"248","false","0.2","0","false","0.5","1","0","0.01","533","true","false"
"253","false","0.2","0","false","0.5","1","0","0.01","260","true","false"
"252","false","0.2","0","false","0.5","1","0","0.01","420","true","false"
"250","false","0.2","0","false","0.5","1","0","0.01","502","true","false"
"254","false","0.2","0","false","0.5","1","0","0.01","317","true","false"
"251","false","0.2","0","false","0.5","1","0","0.01","649","true","false"
"255","false","0.2","0","false","0.5","1","0","0.01","654","true","false"
"257","false","0.2","0","false","0.5","1","0","0.01","510","true","false"
"258","false","0.2","0","false","0.5","1","0","0.01","809","true","false"
"260","false","0.2","0","false","0.5","1","0","0.01","623","true","false"
"256","false","0.2","0","false","0.5","1","0","0.01","812","true","false"
"259","false","0.2","0","false","0.5","1","0","0.01","848","true","false"
"261","false","0.2","0","false","0.5","1","0","0.01","584","true","false"
"262","false","0.2","0","false","0.5","1","0","0.01","586","true","false"
"264","false","0.2","0","false","0.5","1","0","0.01","500","true","false"
"267","false","0.2","0","false","0.5","1","0","0.01","376","true","false"
