"[run number]","mr_marker","random-pairing","game","initial_proportion_ethnic_learning","mr_learning_style","ethnic_bias?","mr_strategy","[step]","success?","collapse?"
"354","0","0.1","1","0.4","0","true","0","734","true","false"
"350","0","0.1","1","0.4","0","true","0","3081","true","false"
"347","0","0.1","1","0.4","0","true","0","4000","false","false"
"355","0","0.1","1","0.4","0","true","0","1537","true","false"
"357","0","0.1","1","0.4","0","true","0","832","true","false"
"358","0","0.1","1","0.4","0","true","0","1521","true","false"
"356","0","0.1","1","0.4","0","true","0","1086","true","false"
"362","0","0.1","1","0.4","0","true","0","125","false","true"
"359","0","0.1","1","0.4","0","true","0","1272","true","false"
"360","0","0.1","1","0.4","0","true","0","1401","true","false"
"361","0","0.1","1","0.4","0","true","0","1057","true","false"
"364","0","0.1","1","0.4","0","true","0","790","true","false"
"363","0","0.1","1","0.4","0","true","0","563","true","false"
"368","0","0.1","1","0.4","0","true","0","85","false","true"
"367","0","0.1","1","0.4","0","true","0","1115","true","false"
"365","0","0.1","1","0.4","0","true","0","2621","true","false"
"366","0","0.1","1","0.4","0","true","0","2478","true","false"
"371","0","0.1","1","0.4","0","true","0","818","true","false"
"370","0","0.1","1","0.4","0","true","0","2317","true","false"
"373","0","0.1","1","0.4","0","true","0","932","true","false"
"372","0","0.1","1","0.4","0","true","0","1550","true","false"
"369","0","0.1","1","0.4","0","true","0","2678","true","false"
"374","0","0.1","1","0.4","0","true","0","1116","true","false"
"375","0","0.1","1","0.4","0","true","0","754","true","false"
"377","0","0.1","1","0.4","0","true","0","582","true","false"
"380","0","0.1","1","0.4","0","true","0","36","false","true"
"379","0","0.1","1","0.4","0","true","0","890","true","false"
"378","0","0.1","1","0.4","0","true","0","1409","true","false"
"382","0","0.1","1","0.4","0","true","0","593","true","false"
"381","0","0.1","1","0.4","0","true","0","1335","true","false"
"384","0","0.1","1","0.4","0","true","0","868","true","false"
"386","0","0.1","1","0.4","0","true","0","188","false","true"
"376","0","0.1","1","0.4","0","true","0","3327","true","false"
"383","0","0.1","1","0.4","0","true","0","1373","true","false"
"388","0","0.1","1","0.4","0","true","0","167","false","true"
"389","0","0.1","1","0.4","0","true","0","490","true","false"
"390","0","0.1","1","0.4","0","true","0","1262","true","false"
"391","0","0.1","1","0.4","0","true","0","1008","true","false"
"393","0","0.1","1","0.4","0","true","0","396","false","true"
"385","0","0.1","1","0.4","0","true","0","2152","true","false"
"387","0","0.1","1","0.4","0","true","0","2912","true","false"
"394","0","0.1","1","0.4","0","true","0","838","true","false"
"392","0","0.1","1","0.4","0","true","0","1708","true","false"
"398","0","0.1","1","0.4","0","true","0","1595","true","false"
"397","0","0.1","1","0.4","0","true","0","1901","true","false"
"395","0","0.1","1","0.4","0","true","0","2000","true","false"
"396","0","0.1","1","0.4","0","true","0","2938","true","false"
"400","0","0.1","1","0.4","0","true","0","1007","true","false"
"399","0","0.1","1","0.4","0","true","0","1445","true","false"
"402","0","0.1","1","0.5","0","true","0","684","true","false"
"404","0","0.1","1","0.5","0","true","0","864","true","false"
"403","0","0.1","1","0.5","0","true","0","1367","true","false"
"405","0","0.1","1","0.5","0","true","0","1001","true","false"
"406","0","0.1","1","0.5","0","true","0","1143","true","false"
"408","0","0.1","1","0.5","0","true","0","1075","true","false"
"407","0","0.1","1","0.5","0","true","0","1653","true","false"
"401","0","0.1","1","0.5","0","true","0","2946","true","false"
"411","0","0.1","1","0.5","0","true","0","754","true","false"
"409","0","0.1","1","0.5","0","true","0","1425","true","false"
"410","0","0.1","1","0.5","0","true","0","1152","true","false"
"415","0","0.1","1","0.5","0","true","0","670","true","false"
"413","0","0.1","1","0.5","0","true","0","1073","true","false"
"412","0","0.1","1","0.5","0","true","0","1777","true","false"
"414","0","0.1","1","0.5","0","true","0","1714","true","false"
"417","0","0.1","1","0.5","0","true","0","795","true","false"
"416","0","0.1","1","0.5","0","true","0","1343","true","false"
"418","0","0.1","1","0.5","0","true","0","785","true","false"
"421","0","0.1","1","0.5","0","true","0","722","true","false"
"420","0","0.1","1","0.5","0","true","0","1075","true","false"
"419","0","0.1","1","0.5","0","true","0","1595","true","false"
"422","0","0.1","1","0.5","0","true","0","1118","true","false"
