"BehaviorSpace results (NetLogo 6.1.1)"
"ethnicity bias learning - github version.nlogo"
"sensitivity_to_random_pairing"
"04/19/2022 14:20:24:101 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","25","0","9"
"[run number]","spatial?","random-pairing","mr_learning_strategy","conditional_strategies?","initial_proportion_ethnic_learning","plays_per_learn","mr_strategy","[step]","success?","collapse?"
"298","false","0.1","0","false","0.5","1","0","694","true","false"
"297","false","0.1","0","false","0.5","1","0","1471","true","false"
"302","false","0.1","0","false","0.5","1","0","356","true","false"
"299","false","0.1","0","false","0.5","1","0","863","true","false"
"303","false","0.1","0","false","0.5","1","0","534","true","false"
"301","false","0.1","0","false","0.5","1","0","1085","true","false"
"300","false","0.1","0","false","0.5","1","0","1296","true","false"
"304","false","0.1","0","false","0.5","1","0","1310","true","false"
"305","false","0.1","0","false","0.5","1","0","1327","true","false"
"309","false","0.1","0","false","0.5","1","0","895","true","false"
"308","false","0.1","0","false","0.5","1","0","1617","true","false"
"307","false","0.1","0","false","0.5","1","0","2546","true","false"
"310","false","0.1","0","false","0.5","1","0","1018","true","false"
"312","false","0.1","0","false","0.5","1","0","551","true","false"
"313","false","0.1","0","false","0.5","1","0","541","true","false"
"311","false","0.1","0","false","0.5","1","0","1597","true","false"
"306","false","0.1","0","false","0.5","1","0","3751","true","false"
"317","false","0.1","0","false","0.5","1","0","177","false","true"
"316","false","0.1","0","false","0.5","1","0","818","true","false"
"315","false","0.1","0","false","0.5","1","0","1155","true","false"
"319","false","0.1","0","false","0.5","1","0","79","false","true"
"314","false","0.1","0","false","0.5","1","0","1896","true","false"
"321","false","0.1","0","false","0.5","1","0","714","true","false"
"320","false","0.1","0","false","0.5","1","0","1427","true","false"
"318","false","0.1","0","false","0.5","1","0","1675","true","false"
"322","false","0.1","0","false","0.5","1","0","1525","true","false"
"326","false","0.1","0","false","0.5","1","0","1027","true","false"
"323","false","0.1","0","false","0.5","1","0","2342","true","false"
"324","false","0.1","0","false","0.5","1","0","2431","true","false"
"328","false","0.1","0","false","0.5","1","0","1028","true","false"
"327","false","0.1","0","false","0.5","1","0","1529","true","false"
"330","false","0.1","0","false","0.5","1","0","680","true","false"
"325","false","0.1","0","false","0.5","1","0","3023","true","false"
"331","false","0.1","0","false","0.5","1","0","519","true","false"
"333","false","0.1","0","false","0.5","1","0","103","false","true"
"332","false","0.1","0","false","0.5","1","0","1611","true","false"
"329","false","0.1","0","false","0.5","1","0","3262","true","false"
"335","false","0.1","0","false","0.5","1","0","1922","true","false"
"338","false","0.1","0","false","0.5","1","0","868","true","false"
"334","false","0.1","0","false","0.5","1","0","3329","true","false"
"337","false","0.1","0","false","0.5","1","0","1987","true","false"
"340","false","0.1","0","false","0.5","1","0","847","true","false"
"342","false","0.1","0","false","0.5","1","0","1231","true","false"
"339","false","0.1","0","false","0.5","1","0","2018","true","false"
"341","false","0.1","0","false","0.5","1","0","1883","true","false"
"336","false","0.1","0","false","0.5","1","0","4700","true","false"
"343","false","0.1","0","false","0.5","1","0","1304","true","false"
"344","false","0.1","0","false","0.5","1","0","961","true","false"
"345","false","0.1","0","false","0.5","1","0","1084","true","false"
"347","false","0.1","0","false","0.5","1","0","978","true","false"
"346","false","0.1","0","false","0.5","1","0","2284","true","false"
"350","false","0.1","0","false","0.5","1","0","1061","true","false"
"349","false","0.1","0","false","0.5","1","0","1682","true","false"
"351","false","0.1","0","false","0.5","1","0","532","true","false"
"353","false","0.1","0","false","0.5","1","0","548","true","false"
"352","false","0.1","0","false","0.5","1","0","1560","true","false"
"348","false","0.1","0","false","0.5","1","0","3330","true","false"
"355","false","0.1","0","false","0.5","1","0","1764","true","false"
"356","false","0.1","0","false","0.5","1","0","889","true","false"
"354","false","0.1","0","false","0.5","1","0","2822","true","false"
"358","false","0.1","0","false","0.5","1","0","732","true","false"
"357","false","0.1","0","false","0.5","1","0","1171","true","false"
"359","false","0.1","0","false","0.5","1","0","1197","true","false"
"360","false","0.1","0","false","0.5","1","0","802","true","false"
"362","false","0.1","0","false","0.5","1","0","1138","true","false"
"364","false","0.1","0","false","0.5","1","0","1093","true","false"
"363","false","0.1","0","false","0.5","1","0","1247","true","false"
"361","false","0.1","0","false","0.5","1","0","2413","true","false"
"366","false","0.1","0","false","0.5","1","0","1008","true","false"
"365","false","0.1","0","false","0.5","1","0","1420","true","false"
"368","false","0.1","0","false","0.5","1","0","1287","true","false"
"367","false","0.1","0","false","0.5","1","0","1987","true","false"
"370","false","0.1","0","false","0.5","1","0","984","true","false"
"372","false","0.1","0","false","0.5","1","0","729","true","false"
"371","false","0.1","0","false","0.5","1","0","1248","true","false"
"369","false","0.1","0","false","0.5","1","0","2891","true","false"
"374","false","0.1","0","false","0.5","1","0","1501","true","false"
"373","false","0.1","0","false","0.5","1","0","2762","true","false"
"376","false","0.1","0","false","0.5","1","0","1829","true","false"
"375","false","0.1","0","false","0.5","1","0","2604","true","false"
"377","false","0.1","0","false","0.5","1","0","1787","true","false"
"378","false","0.1","0","false","0.5","1","0","793","true","false"
"380","false","0.1","0","false","0.5","1","0","1091","true","false"
"381","false","0.1","0","false","0.5","1","0","1114","true","false"
"383","false","0.1","0","false","0.5","1","0","445","true","false"
"379","false","0.1","0","false","0.5","1","0","1611","true","false"
"382","false","0.1","0","false","0.5","1","0","1375","true","false"
